originalTitle,rating,startYear,runtimeMinutes,awardWins,numVotes,totalImages,totalVideos,totalCredits,titleType,AwNmExWins,canHaveEpisodes,isAdult,numRegions,countryOfOrigin,genres,ratingMean,ReviewsTotal
Desember,"(5, 6]",2009,91,0.6931471805599453,4.31748811353631,1.0986122886681098,0.0,48,movie,1.6094379124341003,False,False,4,['IS'],"Comedy,Drama",5.5,0.0
Hihô,"(8, 9]",2010,23,0.0,6.489204931325317,2.302585092994046,0.0,55,tvEpisode,0.0,False,False,1,['JP'],"Action,Adventure,Animation",8.5,1.0986122886681098
The Good Guys,"(8, 9]",1989,40,0.0,2.8903717578961645,1.0986122886681098,0.0,80,tvEpisode,0.0,False,False,1,['US'],"Drama,Romance",8.5,0.0
The Mo'Nique Show,"(4, 5]",2009,53,1.0986122886681098,5.111987788356544,1.3862943611198906,0.0,920,tvSeries,0.6931471805599453,True,False,2,['US'],"Comedy,Talk-Show",4.5,1.0986122886681098
La oras,"(7, 8]",2022,21,0.0,3.6888794541139363,4.204692619390966,0.0,80,tvSeries,0.0,True,False,2,['RO'],Comedy,7.5,0.0
Talk Dirty to Me Part III,"(6, 7]",1984,75,1.0986122886681098,5.805134968916488,0.0,0.0,24,movie,1.3862943611198906,False,True,5,['US'],"Adult,Comedy",6.5,2.6390573296152584
Scary Marriage,"(7, 8]",2001,21,0.0,3.295836866004329,0.0,0.0,82,tvEpisode,0.0,False,False,1,['US'],"Comedy,Drama,Family",7.5,0.0
The List,"(7, 8]",1983,25,0.0,4.248495242049359,0.6931471805599453,0.0,55,tvEpisode,0.0,False,False,1,['US'],Comedy,7.5,0.0
Episode #1.1,"(7, 8]",2005,30,0.0,3.6109179126442243,0.0,0.0,48,tvEpisode,0.0,False,False,7,['GB'],"Comedy,Game-Show",7.5,0.0
Weather Wizards,"(6, 7]",1939,10,0.0,4.499809670330265,0.6931471805599453,0.0,11,short,0.0,False,False,1,['US'],Short,6.5,1.6094379124341003
Bare Essence,"(7, 8]",1983,60,0.0,4.574710978503383,1.3862943611198906,0.0,106,tvSeries,0.0,True,False,3,['US'],"Drama,Romance",7.5,0.0
Agni IPS,"(7, 8]",1997,137,0.0,3.9318256327243257,0.6931471805599453,0.0,28,movie,0.0,False,False,1,['IN'],Action,7.5,0.6931471805599453
Hit Men,"(7, 8]",1975,50,0.0,3.9512437185814275,1.3862943611198906,0.0,51,tvEpisode,0.0,False,False,1,['US'],"Action,Crime,Drama",7.5,1.3862943611198906
Making of 'Universal Soldier',"(5, 6]",1992,7,0.0,4.382026634673881,0.0,0.0,8,tvShort,0.0,False,False,3,['US'],"Documentary,Short",5.5,0.0
Are You Listening?,"(6, 7]",1932,73,0.0,6.269096283706261,3.4011973816621555,0.0,45,movie,0.0,False,False,4,['US'],Drama,6.5,2.9444389791664403
Han yan cui,"(5, 6]",1968,101,0.0,3.1780538303479458,2.5649493574615367,0.0,27,movie,0.0,False,False,2,"['TW', 'HK']","Drama,Romance",5.5,0.6931471805599453
Tamales and Gumbo,"(7, 8]",2015,85,0.0,3.8066624897703196,1.3862943611198906,0.0,61,movie,0.0,False,False,2,['US'],"Comedy,Drama",7.5,0.0
The Car Show,"(7, 8]",1996,30,0.0,5.765191102784844,0.6931471805599453,0.0,73,tvEpisode,0.0,False,False,1,['US'],"Comedy,Family,Romance",7.5,1.0986122886681098
Valderama,"(6, 7]",2016,91,0.0,3.4011973816621555,2.4849066497880004,0.0,25,movie,1.0986122886681098,False,False,4,['IR'],Drama,6.5,1.3862943611198906
Diamond Disaster!/BMW vs. Ford Focus?!,"(7, 8]",2016,22,0.0,2.1972245773362196,0.0,0.0,19,tvEpisode,0.0,False,False,1,['US'],"Comedy,Crime,Reality-TV",7.5,0.0
Joe Scarborough/Mika Brzezinski/Laura Benanti/The Revivalists,"(7, 8]",2018,40,0.0,3.332204510175204,0.6931471805599453,0.0,32,tvEpisode,0.0,False,False,1,['US'],"Comedy,Talk-Show",7.5,0.0
Napoletani a Milano,"(6, 7]",1953,98,0.0,4.634728988229636,1.3862943611198906,0.0,45,movie,0.6931471805599453,False,False,5,['IT'],Comedy,6.5,0.6931471805599453
Red Midnight,"(4, 5]",1966,92,0.0,4.356708826689592,2.1972245773362196,0.0,40,movie,0.0,False,False,8,['US'],"Horror,Sci-Fi,Thriller",4.5,1.0986122886681098
Flight Through Eternity,"(7, 8]",1965,25,0.0,6.486160788944089,0.6931471805599453,0.0,48,tvEpisode,0.0,False,False,1,['GB'],"Adventure,Drama,Family",7.5,2.0794415416798357
Now Showing: Unforgettable Moments from the Movies,"(8, 9]",2003,80,0.0,2.833213344056216,0.6931471805599453,0.0,18,video,0.0,False,False,1,['US'],Documentary,8.5,0.0
Requiem for a Parrot,"(8, 9]",1993,40,0.0,4.204692619390966,1.6094379124341003,0.0,47,tvEpisode,0.0,False,False,1,['GB'],Comedy,8.5,0.0
Oregon Experience,"(8, 9]",2006,30,0.0,2.3978952727983707,0.6931471805599453,0.0,56,tvSeries,0.0,True,False,1,['US'],Documentary,8.5,0.0
Tom Sawyer,"(6, 7]",1907,13,0.0,3.7376696182833684,0.0,0.0,2,short,0.0,False,False,1,['US'],Short,6.5,1.0986122886681098
Double Date,"(7, 8]",1998,43,0.0,4.499809670330265,1.9459101490553132,0.0,80,tvEpisode,0.0,False,False,1,['CA'],"Action,Crime,Drama",7.5,0.6931471805599453
Place of Life,"(7, 8]",2009,44,0.0,4.997212273764115,0.6931471805599453,0.0,184,tvEpisode,0.0,False,False,1,['US'],Drama,7.5,0.0
The Bridge,"(7, 8]",2008,11,1.3862943611198906,3.828641396489095,1.3862943611198906,0.0,56,short,0.0,False,False,1,['US'],"Action,Drama,History",7.5,0.6931471805599453
V som i viking,"(7, 8]",1991,129,0.0,3.258096538021482,0.0,0.0,24,tvMiniSeries,0.0,True,False,1,['SE'],Comedy,7.5,0.0
Muin,"(4, 5]",1985,95,0.0,3.295836866004329,0.6931471805599453,0.0,18,movie,0.0,False,False,3,['KR'],Action,4.5,0.6931471805599453
"Rogues, Rebels, and Renegades: The Art of an Outlaw","(6, 7]",2009,75,0.0,3.7376696182833684,0.6931471805599453,0.0,26,movie,0.0,False,False,1,['US'],Documentary,6.5,0.0
Hronia polla,"(8, 9]",2004,15,0.0,2.4849066497880004,1.6094379124341003,0.0,23,short,0.0,False,False,2,['GR'],"Comedy,Short",8.5,0.0
Strained Relations,"(8, 9]",1985,29,0.0,6.467698726104354,1.6094379124341003,0.0,35,tvEpisode,0.0,False,False,1,['GB'],Comedy,8.5,2.0794415416798357
Wienerinnen,"(7, 8]",1952,96,0.0,4.1588830833596715,1.3862943611198906,0.0,39,movie,0.0,False,False,6,['AT'],Drama,7.5,1.791759469228055
"Ach, du fröhliche","(6, 7]",1962,95,0.0,3.044522437723423,1.9459101490553132,0.0,52,movie,0.0,False,False,6,['DDDE'],"Comedy,Drama",6.5,0.6931471805599453
Terry The Author,"(7, 8]",1976,29,0.0,2.0794415416798357,0.0,0.0,12,tvEpisode,0.0,False,False,1,['GB'],Comedy,7.5,0.0
De Cock en de moord op de moordenaar,"(7, 8]",1995,40,0.0,3.8501476017100584,0.0,0.0,65,tvEpisode,0.0,False,False,1,['NL'],"Crime,Drama,Mystery",7.5,0.0
What Does a Naked Lady Say to You?,"(7, 8]",1971,25,0.0,4.718498871295094,1.3862943611198906,0.0,23,tvEpisode,0.0,False,False,1,['US'],Comedy,7.5,1.3862943611198906
The Summer Day,"(9, 10]",2020,7,0.6931471805599453,2.3978952727983707,2.1972245773362196,0.6931471805599453,6,short,1.0986122886681098,False,False,1,['US'],Short,9.5,0.0
The Counting Journey,"(7, 8]",2001,23,0.0,5.030437921392435,0.6931471805599453,0.0,29,tvEpisode,0.0,False,False,1,['JP'],"Action,Animation,Comedy",7.5,0.6931471805599453
Matrimonios y algo más,"(6, 7]",1987,53,0.0,3.332204510175204,0.0,0.0,25,tvSeries,0.0,True,False,1,['AR'],Comedy,6.5,0.0
Mal wa Nesa,"(5, 6]",1960,135,0.0,3.332204510175204,1.9459101490553132,0.0,34,movie,0.0,False,False,2,['EG'],"Drama,Romance",5.5,0.0
SpyGames,"(2, 3]",2003,53,0.0,2.302585092994046,0.0,0.0,8,tvSeries,0.0,True,False,2,['CA'],Documentary,2.5,0.0
Einschließlich Heinz,"(8, 9]",1994,40,0.0,3.4339872044851463,0.0,0.0,44,tvEpisode,0.0,False,False,1,['DE'],"Comedy,Family",8.5,0.0
Boy from LA,"(9, 10]",2023,53,0.0,1.791759469228055,2.5649493574615367,0.0,26,tvSeries,0.0,True,False,1,['US'],"Action,Adventure",9.5,1.0986122886681098
Sanct Hansaften-spil,"(7, 8]",1979,81,0.0,2.3978952727983707,0.6931471805599453,0.0,87,tvMovie,0.0,False,False,2,['DK'],Drama,7.5,0.0
Careful What You Wish For,"(8, 9]",2019,44,0.0,6.88653164253051,2.772588722239781,0.6931471805599453,223,tvEpisode,0.0,False,False,1,['US'],"Action,Drama,Thriller",8.5,2.1972245773362196
Clown in a Church,"(9, 10]",2018,9,0.0,1.9459101490553132,1.3862943611198906,0.0,15,short,0.0,False,False,1,['GB'],"Comedy,Drama,Horror",9.5,0.6931471805599453
Pulsiones,"(6, 7]",2009,10,1.6094379124341003,4.663439094112067,0.6931471805599453,0.0,27,short,0.0,False,False,4,['ES'],"History,Short",6.5,0.6931471805599453
New Family: Part 2,"(7, 8]",1998,40,0.0,4.51085950651685,0.6931471805599453,0.0,121,tvEpisode,0.0,False,False,1,['US'],"Action,Animation,Sci-Fi",7.5,0.0
