startYear;runtimeMinutes;numVotes;totalImages;totalVideos;totalCredits;AwNmExWins;numRegions;ratingCount;ratingMean;ReviewsTotal
2016;55;11;5;0;18;0;2;11;7.5;0
1993;45;175;1;0;99;0;1;176;6.5;1
1949;76;6;0;0;29;0;1;6;6.5;0
2008;74;16;1;1;28;0;1;16;7.5;0
1997;60;14;1;0;27;0;1;14;6.5;0
2018;40;10;1;0;20;0;1;10;6.5;0
1990;85;575;2;0;41;0;3;575;6.5;1
1935;96;227;14;1;126;0;13;228;6.5;9
1967;50;281;12;0;51;0;1;282;7.5;4
1975;53;13;0;0;262;0;1;13;6.5;0
1991;51;29;7;0;81;0;3;29;6.5;0
2014;13;5;0;0;6;0;1;5;3.5;0
1988;40;45;1;0;50;0;1;45;7.5;1
1932;55;53;3;0;30;0;6;53;5.5;1
1993;28;9;1;0;23;0;4;9;7.5;0
1990;92;327;2;0;76;0;2;327;6.5;1
2018;88;2634;43;1;119;0;13;2640;2.5;144
2018;41;30;0;0;54;0;1;30;7.5;0
1973;109;15;1;0;34;0;2;15;6.5;0
2001;18;7;0;0;10;0;1;7;7.5;0
1971;100;55;4;0;33;0;3;55;7.5;2
2006;92;16;0;0;15;0;1;16;8.5;0
1973;13;6;0;0;7;0;1;6;7.5;0
2014;21;183;1;0;199;0;1;183;7.5;1
2021;40;27;0;0;24;0;1;27;5.5;0
2016;82;117;1;0;13;0;1;117;6.5;2
2009;53;91;1;0;189;0;3;91;6.5;0
2020;139;587;12;0;87;0;4;587;7.5;0
2023;44;348;3;0;13;0;3;348;5.5;0
2019;115;49;39;1;8;0;1;49;6.5;16
2012;80;426;19;4;80;2;2;426;5.5;27
1999;92;52;1;0;24;0;1;52;8.5;0
2011;3;32;0;0;7;0;1;32;4.5;0
2010;12;114;1;0;83;1;2;114;6.5;1
2012;28;30;6;3;16;0;2;30;7.5;0
1998;22;135;3;0;97;0;1;135;7.5;4
2016;89;61;30;0;451;0;6;62;3.5;0
2002;60;26;2;0;308;0;1;26;2.5;0
2014;107;11;1;0;18;0;2;11;8.5;1
1989;30;110;1;0;64;0;1;110;7.5;1
2007;45;73;1;0;112;0;1;73;8.5;0
1994;89;45;0;0;18;0;4;45;6.5;4
2003;92;45;2;0;109;0;2;45;7.5;0
2007;41;155;1;0;208;0;1;155;7.5;0
1912;34;15;2;0;16;0;3;15;6.5;0
2012;13;14;0;0;20;0;1;14;2.5;0
1983;6;19;0;0;7;0;1;19;5.5;0
1987;60;17;0;0;22;0;3;17;7.5;0
2021;8;85;1;0;45;0;1;85;6.5;1
2009;12;8;0;0;16;0;1;8;5.5;0
2016;40;4620;17;0;255;0;1;4623;7.5;20
2010;13;91;1;1;68;3;7;91;7.5;0
1987;90;28;1;0;34;0;3;28;5.5;1
2015;7;6;0;0;8;0;1;6;5.5;0
1987;60;233;1;0;64;0;1;233;7.5;3
1995;75;41;3;0;15;0;2;41;5.5;0
1992;40;12;0;0;31;0;1;12;6.5;0
1975;95;587;11;0;23;0;16;587;7.5;6
1955;27;45;1;0;10;1;1;45;7.5;1
2017;82;45;1;0;45;0;1;45;5.5;0
1951;32;178;2;0;25;0;1;178;5.5;10
1987;74;22;1;0;29;0;2;22;4.5;0
1991;53;31;1;0;218;0;1;31;7.5;0
1978;40;5;0;0;48;0;1;5;5.5;0
1969;92;39;9;0;17;0;1;39;5.5;0
1984;60;89;3;0;61;0;1;89;7.5;3
1979;528;19;2;0;115;0;1;19;7.5;1
2022;129;11;4;0;3;0;1;11;7.5;0
2017;98;109;13;0;27;0;6;109;5.5;4
1942;3;64;1;0;8;0;1;64;6.5;2
1995;129;34;1;0;10;0;1;34;5.5;0
2012;40;9;0;0;34;0;7;9;7.5;0
1991;80;61;1;0;2;0;1;61;8.5;1
2014;29;2922;13;0;68;0;1;2925;8.5;16
1926;13;53;5;0;10;0;1;53;5.5;2
1996;52;5;5;0;42;0;2;5;6.5;0
1997;51;29;1;0;91;0;1;29;7.5;0
1979;94;45;1;0;57;0;2;45;5.5;2
1997;90;51;0;0;57;0;2;51;7.5;5
1989;94;179;4;0;77;0;7;179;4.5;7
2004;14;6;0;0;47;0;1;6;4.5;0
1996;2;69;0;0;1;0;1;69;6.5;0
1967;25;210;2;0;39;0;1;210;8.5;2
1945;59;101;1;0;35;0;3;101;5.5;8
1970;40;106;1;0;50;0;1;106;7.5;5
1988;77;295;12;0;48;0;5;295;3.5;12
2016;95;1584;8;1;147;0;3;1585;3.5;0
2020;55;12;1;0;6;0;1;12;6.5;0
2002;28;1491;12;0;90;3;11;1493;8.5;15
1980;100;15;1;0;14;0;1;15;6.5;2
1975;79;27;4;0;43;0;2;27;4.5;2
1984;48;309;5;0;41;0;1;309;7.5;5
2017;68;58;2;0;21;2;5;58;7.5;0
2013;82;203;2;1;78;0;1;203;7.5;4
1948;108;21;21;0;25;0;1;21;5.5;2
2009;22;1458;27;0;84;0;1;1459;8.5;1
2022;60;15;2;0;19;0;1;15;5.5;2
2012;13;19;1;0;20;0;1;19;5.5;0
2021;53;10;0;0;42;0;1;10;7.5;0
1979;81;10;0;0;10;0;1;10;7.5;1
1979;25;497;5;0;34;0;1;497;7.5;10
1979;240;7;147;0;39;0;1;7;7.5;0
2023;88;28;2;0;17;0;1;28;6.5;0
2020;90;58;8;0;59;0;8;58;5.5;2
1991;88;392;3;0;55;0;3;392;4.5;21
1993;15;245;1;0;31;0;1;245;7.5;3
2021;53;1639;1;2;49;1;27;1639;6.5;147
1982;102;6;1;0;34;0;1;6;7.5;0
1997;80;70;1;0;17;0;1;70;5.5;1
2021;55;5;0;0;20;0;1;5;6.5;0
1991;94;10398;71;1;160;1;28;10400;7.5;106
1997;117;31;1;0;31;0;1;31;6.5;0
1976;105;149;8;0;27;0;4;149;8.5;0
1980;48;90;8;0;59;0;1;90;7.5;0
2016;28;15;1;0;28;0;1;15;8.5;0
1981;92;20;6;0;49;0;1;20;3.5;0
2011;93;141;1;0;106;0;7;141;5.5;4
1999;90;95;3;0;54;2;2;95;7.5;3
2019;31;430;4;0;67;0;1;430;8.5;1
1948;7;153;6;0;17;0;4;153;6.5;4
2009;166;9;2;0;15;0;2;9;7.5;2
1990;40;11;0;0;71;0;1;11;7.5;0
1997;47;49;0;0;20;0;2;49;6.5;0
1997;92;19;1;0;53;0;1;19;6.5;0
2005;92;139;1;0;136;0;2;139;6.5;10
2017;53;14;1;0;57;0;1;14;4.5;0
2015;71;20;4;0;13;0;1;20;6.5;0
1992;129;31;0;0;5;0;1;31;7.5;2
2004;89;195;3;0;37;0;4;195;4.5;12
2010;94;31;1;1;56;0;1;31;6.5;10
2022;19;16207;25;0;35;27;2;16207;5.5;2
2021;75;16;5;1;29;0;1;16;1.5;0
2007;92;355;1;0;62;1;4;355;4.5;6
2007;41;104;1;0;135;0;1;104;8.5;0
